Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
Kevin De Bruyne Man City,0.2195121951219512,0.08,0.0493827160493827,0.0454545454545454,0.4583333333333333,0.9411764705882354,0.2857142857142857,0.2162162162162162,0.6882352941176471,0.5789473684210527,0.3205128205128205,0.3076923076923077,0.01,0.79,0.73,0.0,0.15,0.94,0.04,0.0
Kieran Trippier Newcastle,0.4878048780487805,0.52,0.2345679012345679,0.1818181818181818,0.0833333333333333,0.8529411764705882,0.1428571428571428,0.2432432432432432,0.5941176470588234,1.0,0.4358974358974359,0.1538461538461538,0.08,0.03,0.15,0.14,0.0,0.93,0.97,0.0
Gabriel Jesus Arsenal,0.2926829268292683,0.2,0.0617283950617284,0.0454545454545454,0.6875,0.4117647058823529,0.5714285714285714,0.6486486486486486,0.7431372549019606,0.0263157894736842,0.0641025641025641,0.0769230769230769,0.0,0.91,0.06,0.0,0.21,0.05,0.01,0.88
Erling Haaland Man City,0.024390243902439,0.04,0.0493827160493827,0.0454545454545454,0.7291666666666667,0.2352941176470588,0.0571428571428571,0.1891891891891891,0.6117647058823528,0.0,0.0,0.0769230769230769,0.0,0.98,0.0,0.0,0.11,0.0,0.0,0.09
Bukayo Saka Arsenal,0.3414634146341463,0.16,0.0493827160493827,0.0,0.5,0.6176470588235294,0.4571428571428571,0.4324324324324324,0.715686274509804,0.2631578947368421,0.1282051282051282,0.0,0.01,0.23,0.75,0.0,0.05,0.92,0.73,0.03
Bruno Fernandes Man Utd,0.5365853658536587,0.2799999999999999,0.1481481481481481,0.0909090909090909,0.4375,0.8235294117647058,0.2285714285714285,0.2972972972972972,0.6294117647058823,0.2368421052631578,0.3717948717948718,0.3846153846153846,0.09,0.19,0.81,0.04,0.07,0.92,0.07,0.0
Gabriel Martinelli Arsenal,0.1707317073170731,0.12,0.037037037037037,0.0,0.5,0.4705882352941177,0.4857142857142856,0.2972972972972972,0.7509803921568627,0.1052631578947368,0.1538461538461538,0.0769230769230769,0.0,0.86,0.09,0.0,0.25,0.06,0.0,0.96
Rodrigo Bentancur Tottenham,0.6097560975609757,0.44,0.1481481481481481,0.3636363636363636,0.1666666666666666,0.1764705882352941,0.3428571428571428,0.1081081081081081,0.8,0.0526315789473684,0.1666666666666666,0.0769230769230769,0.1,0.0,0.65,0.03,0.0,0.17,0.12,0.0
Bruno Guimarães Newcastle,0.5609756097560976,0.44,0.074074074074074,0.0454545454545454,0.1875,0.2941176470588235,0.3714285714285714,0.6756756756756755,0.7666666666666666,0.0,0.3461538461538462,0.1538461538461538,0.0,0.04,0.16,0.91,0.04,0.02,0.02,0.01
Joelinton Newcastle,0.5609756097560976,0.5599999999999999,0.1604938271604938,0.0909090909090909,0.3125,0.2352941176470588,0.4285714285714285,0.2432432432432432,0.7647058823529411,0.0526315789473684,0.1282051282051282,0.0,0.01,0.6,0.06,0.1,0.7,0.03,0.03,0.83
