Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
"1Jude BellinghamBorussia Dortmund, 19, M(CLR)","Jude Bellingham Borussia Dortmund, 19, M(CLR)",24(1),2166,2.5,1.2,1.2,-,0.8,0.4,0.1,-,7.5
"2Niclas FüllkrugWerder Bremen, 30, FW","Niclas Füllkrug Werder Bremen, 30, FW",25,2209,0.4,-,1.1,-,1.0,0.4,0.2,-,7.44
"3Joshua KimmichBayern, 28, D(CR),DMC,M(R)","Joshua Kimmich Bayern, 28, D(CR),DMC,M(R)",24(1),2129,2.6,1.4,0.7,-,1.0,1.1,0.1,-,7.44
"4Dominik SzoboszlaiRBL, 22, AM(CLR)","Dominik Szoboszlai RBL, 22, AM(CLR)",22(2),1901,1.4,0.7,0.9,-,0.8,0.7,0.1,-,7.4
"5Jamal MusialaBayern, 20, M(CL)","Jamal Musiala Bayern, 20, M(CL)",20(5),1702,1.1,0.6,0.5,-,0.1,0.5,-,-,7.38
"6Randal Kolo MuaniEintracht Frankfurt, 24, AM(R),FW","Randal Kolo Muani Eintracht Frankfurt, 24, AM(R),FW",24(1),2063,0.5,0.1,1.7,-,0.3,0.2,-,-,7.31
"7Vincenzo GrifoFreiburg, 29, AM(CL)","Vincenzo Grifo Freiburg, 29, AM(CL)",22(3),1786,0.8,0.4,0.2,-,0.4,0.6,-,-,7.28
"8Jonas HofmannBorussia M.Gladbach, 30, D(R),M(CLR)","Jonas Hofmann Borussia M.Gladbach, 30, D(R),M(CLR)",23,2042,0.9,0.6,0.5,-,0.4,1.2,0.1,-,7.27
"9Christopher NkunkuRBL, 25, M(CLR),FW","Christopher Nkunku RBL, 25, M(CLR),FW",15(3),1419,0.2,0.4,0.7,-,0.4,0.2,0.2,-,7.26
"10Eric Choupo-MotingBayern, 34, M(CLR),FW","Eric Choupo-Moting Bayern, 34, M(CLR),FW",14(4),1098,0.6,-,0.2,-,0.3,0.1,-,-,7.25
