Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"1Jude BellinghamBorussia Dortmund, 19, M(CLR)","Jude Bellingham Borussia Dortmund, 19, M(CLR)",4,1.1,50.1,82.3,0.2,3.8,0.2,7.5,24(1),2166.0
"2Niclas FüllkrugWerder Bremen, 30, FW","Niclas Füllkrug Werder Bremen, 30, FW",5,1.3,32.5,63.7,0.2,1.6,-,7.44,25,2209.0
"3Joshua KimmichBayern, 28, D(CR),DMC,M(R)","Joshua Kimmich Bayern, 28, D(CR),DMC,M(R)",4,2.2,73.4,89.6,1.9,4.9,0.3,7.44,24(1),2129.0
"4Dominik SzoboszlaiRBL, 22, AM(CLR)","Dominik Szoboszlai RBL, 22, AM(CLR)",8,2.4,45.9,83.6,1.4,2.7,0.4,7.4,22(2),1901.0
"5Jamal MusialaBayern, 20, M(CL)","Jamal Musiala Bayern, 20, M(CL)",8,1.7,30.0,84.1,-,0.3,-,7.38,20(5),1702.0
"6Randal Kolo MuaniEintracht Frankfurt, 24, AM(R),FW","Randal Kolo Muani Eintracht Frankfurt, 24, AM(R),FW",10,1.2,19.2,66.0,0.1,0.4,0.1,7.31,24(1),2063.0
"7Vincenzo GrifoFreiburg, 29, AM(CL)","Vincenzo Grifo Freiburg, 29, AM(CL)",4,1.7,36.9,79.5,0.9,2.4,0.2,7.28,22(3),1786.0
"8Jonas HofmannBorussia M.Gladbach, 30, D(R),M(CLR)","Jonas Hofmann Borussia M.Gladbach, 30, D(R),M(CLR)",8,3.4,39.5,78.9,2.6,1.2,0.3,7.27,23,2042.0
"9Christopher NkunkuRBL, 25, M(CLR),FW","Christopher Nkunku RBL, 25, M(CLR),FW",1,1.7,25.4,81.6,0.3,1.4,0.1,7.26,15(3),1419.0
"10Eric Choupo-MotingBayern, 34, M(CLR),FW","Eric Choupo-Moting Bayern, 34, M(CLR),FW",2,0.8,15.4,77.3,0.1,0.3,0.1,7.25,14(4),1098.0
"11Leroy SanéBayern, 27, M(CLR),FW","Leroy Sané Bayern, 27, M(CLR),FW",5,1.2,36.3,82.5,-,0.8,0.1,7.22,16(8),1581.0
"12Thomas MüllerBayern, 33, M(CLR),FW","Thomas Müller Bayern, 33, M(CLR),FW",7,1.5,28.3,78.8,0.1,0.6,0.2,7.22,15(4),1133.0
"13Jeremie FrimpongLeverkusen, 22, D(R),M(R)","Jeremie Frimpong Leverkusen, 22, D(R),M(R)",6,1.4,26.5,79.4,0.4,0.4,-,7.21,24(2),2022.0
"14Alphonso DaviesBayern, 22, D(L),M(LR)","Alphonso Davies Bayern, 22, D(L),M(LR)",4,1.7,55.5,86.9,0.3,1.5,-,7.2,22(1),1919.0
"15Julian BrandtBorussia Dortmund, 26, M(CLR),FW","Julian Brandt Borussia Dortmund, 26, M(CLR),FW",4,2.3,36.8,83.6,1.5,1.4,0.1,7.19,21(3),1812.0
"16Raphaël GuerreiroBorussia Dortmund, 29, D(L),M(CL)","Raphaël Guerreiro Borussia Dortmund, 29, D(L),M(CL)",10,1.9,56.5,84.8,0.6,1.4,0.1,7.19,20,1755.0
"17Michael GregoritschFreiburg, 28, AM(CR),FW","Michael Gregoritsch Freiburg, 28, AM(CR),FW",4,0.9,17.9,57.6,-,0.3,-,7.18,23(1),1803.0
"18Kingsley ComanBayern, 26, M(LR),FW","Kingsley Coman Bayern, 26, M(LR),FW",4,1.8,28.2,85.4,1,0.8,0.2,7.16,10(8),1004.0
