Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CF,WF,AM,WM,CM,DM,FB,CB
Kevin De Bruyne Man City,0.9,0.2,0.4,0.1,2.2,3.2,1.0,0.8,79.5,2.2,2.5,0.4,1,0,0,1,1,0,0,0
Kieran Trippier Newcastle,2.0,1.3,1.9,0.4,0.4,2.9,0.5,0.9,74.7,3.8,3.4,0.2,0,0,0,1,0,0,1,0
Gabriel Jesus Arsenal,1.2,0.5,0.5,0.1,3.3,1.4,2.0,2.4,82.3,0.1,0.5,0.1,1,1,0,0,0,0,0,0
Erling Haaland Man City,0.1,0.1,0.4,0.1,3.5,0.8,0.2,0.7,75.6,0.0,0.0,0.1,1,0,0,0,0,0,0,0
Harry Kane Tottenham,0.3,0.1,0.4,0.2,3.6,1.5,1.2,1.4,72.2,0.2,1.9,0.2,1,0,1,0,0,0,0,0
Bukayo Saka Arsenal,1.4,0.4,0.4,0.0,2.4,2.1,1.6,1.6,80.9,1.0,1.0,0.0,0,0,0,1,1,0,1,0
Rodri Man City,2.1,1.0,1.1,0.5,1.7,1.1,0.8,0.5,91.4,0.1,5.3,0.1,0,0,0,0,0,1,0,1
Martin Ødegaard Arsenal,1.0,0.1,0.3,0.1,2.7,2.3,1.4,0.7,84.4,0.7,1.5,0.3,0,1,1,0,0,0,0,0
Solly March Brighton,1.7,0.8,0.9,0.1,2.4,1.6,1.6,1.3,78.2,1.0,2.1,0.1,0,0,0,1,1,0,0,0
Ivan Toney Brentford,0.7,0.5,1.0,0.3,2.9,0.8,0.4,2.2,60.2,0.2,0.4,0.2,1,0,0,0,0,0,0,0
Bruno Fernandes Man Utd,2.2,0.7,1.2,0.2,2.1,2.8,0.8,1.1,76.5,0.9,2.9,0.5,0,0,0,1,1,0,0,0
Jack Grealish Man City,0.9,0.2,0.3,0.1,1.4,1.8,1.6,2.9,88.4,0.3,0.6,0.0,1,1,1,0,0,0,0,0
Gabriel Martinelli Arsenal,0.7,0.3,0.3,0.0,2.4,1.6,1.7,1.1,82.7,0.4,1.2,0.1,1,1,0,0,0,0,0,0
James Maddison Leicester,1.6,0.5,0.1,0.0,2.8,2.3,1.0,2.4,81.0,1.0,1.9,0.1,0,1,1,0,0,0,0,0
Thomas Partey Arsenal,2.2,1.0,1.3,0.2,1.0,0.9,1.0,0.6,87.6,0.1,3.8,0.2,0,0,0,1,1,0,1,0
Rodrigo Bentancur Tottenham,2.5,1.1,1.2,0.8,0.8,0.6,1.2,0.4,85.2,0.2,1.3,0.1,0,0,0,0,1,0,0,0
Bruno Guimarães Newcastle,2.3,1.1,0.6,0.1,0.9,1.0,1.3,2.5,83.5,0.0,2.7,0.2,0,0,0,0,0,1,0,0
Phil Foden Man City,0.6,0.2,0.3,0.0,1.5,1.4,1.1,0.9,85.3,1.1,0.6,0.1,1,1,1,0,0,0,0,0
Joelinton Newcastle,2.3,1.4,1.3,0.2,1.5,0.8,1.5,0.9,83.4,0.2,1.0,0.0,1,1,1,0,0,0,0,0
Aleksandar Mitrovic Fulham,0.7,0.1,0.9,0.2,4.1,0.7,1.1,1.7,60.4,0.0,1.1,0.1,1,0,0,0,0,0,0,0
Kaoru Mitoma Brighton,1.4,0.4,0.1,0.0,1.2,1.0,1.7,0.7,85.1,0.0,0.7,0.1,0,0,0,1,0,0,0,0
Alexis Mac Allister Brighton,2.3,0.9,0.2,0.1,2.5,1.1,1.2,1.5,87.7,0.3,2.1,0.1,1,0,0,1,1,0,0,0
Fabian Schär Newcastle,1.2,1.5,4.0,0.6,1.6,0.5,0.1,0.8,76.2,0.0,4.4,0.1,0,0,0,0,0,0,0,1
Pierre-Emile Højbjerg Tottenham,1.5,1.5,1.8,0.5,0.9,0.8,0.8,1.1,89.1,0.3,4.5,0.2,0,0,0,0,1,0,0,0
Ethan Pinnock Brentford,1.3,1.0,8.1,1.0,0.5,0.3,0.1,0.3,76.9,0.1,1.5,0.0,0,0,0,0,0,0,0,1
Casemiro Man Utd,3.1,1.3,2.2,0.4,0.9,0.9,0.3,1.1,77.9,0.2,3.3,0.2,0,0,0,0,0,1,0,0
João Cancelo Man City,1.7,1.1,0.4,0.1,1.0,0.7,1.8,1.1,86.8,0.7,2.2,0.0,0,0,0,1,0,0,1,0
Mohamed Salah Liverpool,0.5,0.1,0.1,0.0,3.0,1.8,1.1,0.9,77.1,0.2,0.4,0.2,1,1,1,0,0,0,0,0
Thiago Silva Chelsea,1.6,1.4,4.2,1.0,0.5,0.2,0.1,0.5,90.7,0.0,4.8,0.0,0,0,0,0,0,0,0,1
Miguel Almirón Newcastle,1.5,0.3,0.4,0.1,2.0,0.7,1.0,1.1,84.8,0.1,0.5,0.0,1,1,1,0,0,0,0,0
João Palhinha Fulham,4.1,1.4,2.0,0.2,1.2,0.1,0.3,1.5,81.9,0.0,2.2,0.0,0,0,0,0,0,1,0,0
Ben Mee Brentford,1.0,1.4,3.1,1.2,0.7,0.2,0.2,0.4,75.6,0.0,3.1,0.0,0,0,0,0,0,0,1,1
Marcus Rashford Man Utd,0.7,0.2,0.3,0.1,2.6,0.7,1.2,0.7,76.6,0.2,0.7,0.1,1,1,1,0,0,0,0,0
Ilkay Gündogan Man City,1.0,0.6,0.4,0.1,1.7,1.3,0.4,0.8,86.8,0.4,1.6,0.3,0,0,0,0,1,0,0,0
Diogo Dalot Man Utd,2.2,1.4,2.2,0.4,0.9,1.4,0.9,0.2,78.7,0.7,2.4,0.0,0,0,0,1,0,0,1,0
Christian Nørgaard Brentford,2.3,1.6,1.9,0.4,0.8,0.6,0.3,0.9,76.0,0.1,1.4,0.1,0,0,0,0,0,1,0,1
Moisés Caicedo Brighton,2.8,1.6,0.6,0.2,0.8,1.2,0.7,1.4,88.8,0.2,2.6,0.1,0,0,0,0,0,1,0,0
