Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"1Karim BenzemaReal Madrid, 35, FW","Karim Benzema Real Madrid, 35, FW",17,1461,14,3,4.8,2.1,0.7,0.3,1.1,1.0,1.2,7.57
"2Robert LewandowskiBarcelona, 34, FW","Robert Lewandowski Barcelona, 34, FW",22(1),1862,17,6,3.9,1.0,0.9,1.4,0.6,1.4,2.7,7.57
"3Antoine GriezmannAtletico, 32, AM(CLR),FW","Antoine Griezmann Atletico, 32, AM(CLR),FW",20(7),1873,9,8,2.6,1.9,1.5,1.1,0.2,1.0,0.9,7.49
"4Vinícius JúniorReal Madrid, 22, AM(L),FW","Vinícius Júnior Real Madrid, 22, AM(L),FW",26,2281,8,6,2.5,2.0,3.1,3.7,0.6,2.0,2.9,7.37
"5PedriBarcelona, 20, AM(CL)","Pedri Barcelona, 20, AM(CL)",18(3),1634,6,-,0.8,1.7,1.4,1.7,0.1,1.1,1.4,7.28
"6RodrygoReal Madrid, 22, AM(CLR),FW","Rodrygo Real Madrid, 22, AM(CLR),FW",17(7),1656,5,7,2.8,1.5,2.0,1.4,0.3,0.8,1.8,7.26
"7Federico ValverdeReal Madrid, 24, M(CLR)","Federico Valverde Real Madrid, 24, M(CLR)",23(3),2036,7,2,2.1,1.4,1.0,0.5,0.1,0.2,0.7,7.24
"8Ousmane DembéléBarcelona, 25, AM(CLR),FW","Ousmane Dembélé Barcelona, 25, AM(CLR),FW",14(4),1108,5,5,2.2,1.9,1.5,0.7,0.2,0.9,1.0,7.23
"9Mikel MerinoReal Sociedad, 26, M(C)","Mikel Merino Real Sociedad, 26, M(C)",19(3),1692,1,7,1.5,1.3,0.8,1.5,0.1,1.0,1.5,7.2
"10JoseluEspanyol, 33, FW","Joselu Espanyol, 33, FW",23(1),2089,12,2,2.4,0.7,0.5,2.3,0.4,1.5,2.5,7.19
"11Aleix GarcíaGirona, 25, DMC","Aleix García Girona, 25, DMC",25,2148,1,5,1.2,2.5,0.5,1.0,-,0.4,0.7,7.19
"12Juan FoythVillarreal, 25, D(CR),DMC","Juan Foyth Villarreal, 25, D(CR),DMC",14(2),1262,1,-,0.4,0.6,1.1,0.6,-,0.7,0.8,7.14
"13Gerónimo RulliVillarreal, 30, GK","Gerónimo Rulli Villarreal, 30, GK",14,1260,-,-,-,-,-,0.1,-,-,-,7.14
"14Frenkie de JongBarcelona, 25, D(C),DMC","Frenkie de Jong Barcelona, 25, D(C),DMC",20(4),1783,2,1,0.6,1.3,1.1,1.0,-,0.8,0.8,7.13
