Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"1Karim BenzemaReal Madrid, 35, FW","Karim Benzema Real Madrid, 35, FW",3,2.1,43.6,86.5,-,0.5,0.3,7.57,17,1461.0
"2Robert LewandowskiBarcelona, 34, FW","Robert Lewandowski Barcelona, 34, FW",6,1.0,21.7,79.0,0.2,0.7,0.2,7.57,22(1),1862.0
"3Antoine GriezmannAtletico, 32, AM(CLR),FW","Antoine Griezmann Atletico, 32, AM(CLR),FW",8,1.9,34.6,82.1,1,1.8,0.2,7.49,20(7),1873.0
"4Vinícius JúniorReal Madrid, 22, AM(L),FW","Vinícius Júnior Real Madrid, 22, AM(L),FW",6,2.0,32.3,81.4,0.2,0.7,0.1,7.37,26,2281.0
"5PedriBarcelona, 20, AM(CL)","Pedri Barcelona, 20, AM(CL)",-,1.7,54.1,88.5,0.3,4.7,0.4,7.28,18(3),1634.0
"6RodrygoReal Madrid, 22, AM(CLR),FW","Rodrygo Real Madrid, 22, AM(CLR),FW",7,1.5,28.7,89.8,0.2,0.6,-,7.26,17(7),1656.0
"7Federico ValverdeReal Madrid, 24, M(CLR)","Federico Valverde Real Madrid, 24, M(CLR)",2,1.4,48.5,87.9,0.2,1.8,-,7.24,23(3),2036.0
"8Ousmane DembéléBarcelona, 25, AM(CLR),FW","Ousmane Dembélé Barcelona, 25, AM(CLR),FW",5,1.9,31.3,84.0,1.1,1.1,0.3,7.23,14(4),1108.0
"9Mikel MerinoReal Sociedad, 26, M(C)","Mikel Merino Real Sociedad, 26, M(C)",7,1.3,45.1,76.7,0.3,2.0,0.1,7.2,19(3),1692.0
"10JoseluEspanyol, 33, FW","Joselu Espanyol, 33, FW",2,0.7,22.3,60.8,0.2,0.5,-,7.19,23(1),2089.0
"11Aleix GarcíaGirona, 25, DMC","Aleix García Girona, 25, DMC",5,2.5,53.6,89.3,2.5,3.7,0.1,7.19,25,2148.0
"12Juan FoythVillarreal, 25, D(CR),DMC","Juan Foyth Villarreal, 25, D(CR),DMC",-,0.6,44.5,87.6,0.1,2.9,-,7.14,14(2),1262.0
"13Gerónimo RulliVillarreal, 30, GK","Gerónimo Rulli Villarreal, 30, GK",-,-,33.8,83.7,-,5.0,-,7.14,14,1260.0
"14Frenkie de JongBarcelona, 25, D(C),DMC","Frenkie de Jong Barcelona, 25, D(C),DMC",1,1.3,60.3,90.7,0.3,2.8,0.3,7.13,20(4),1783.0
"15Enes ÜnalGetafe, 25, FW","Enes Ünal Getafe, 25, FW",3,0.8,21.2,63.7,0.1,0.2,0.1,7.11,27,2362.0
"16Jeremías LedesmaCadiz, 30, GK","Jeremías Ledesma Cadiz, 30, GK",-,-,29.3,44.5,-,7.6,-,7.11,25,2250.0
"17Iago AspasCelta Vigo, 35, AM(CR),FW","Iago Aspas Celta Vigo, 35, AM(CR),FW",3,2.5,34.0,79.0,0.1,1.7,0.2,7.11,25(2),2286.0
"18Éder MilitãoReal Madrid, 25, D(CR)","Éder Militão Real Madrid, 25, D(CR)",-,0.2,51.0,87.4,-,3.4,-,7.09,21(2),1848.0
"19Sergi DarderEspanyol, 29, M(CL)","Sergi Darder Espanyol, 29, M(CL)",2,2,36.7,77.3,1.4,2.8,0.1,7.08,27,2405.0
"20Toni KroosReal Madrid, 33, M(C)","Toni Kroos Real Madrid, 33, M(C)",3,1.8,75.1,94.9,1.2,6.5,0.1,7.05,19(3),1599.0
"21Daniel ParejoVillarreal, 33, M(C)","Daniel Parejo Villarreal, 33, M(C)",3,1.4,63.1,89.9,1.1,4.2,0.2,7.05,27,2389.0
"22Isi PalazónRayo Vallecano, 28, AM(R)","Isi Palazón Rayo Vallecano, 28, AM(R)",5,1.7,30.2,79.1,1.5,1.3,0.1,7.05,25(1),2103.0
"23Jordi MasipReal Valladolid, 34, GK","Jordi Masip Real Valladolid, 34, GK",-,-,31.6,67.8,-,6.1,-,7.04,17,1518.0
"24Javi GalánCelta Vigo, 28, D(L),M(L)","Javi Galán Celta Vigo, 28, D(L),M(L)",2,1.6,41.6,79.0,1.1,2.0,-,7.03,26(1),2350.0
"25José GayàValencia, 27, D(L),M(L)","José Gayà Valencia, 27, D(L),M(L)",2,2.1,42.3,81.1,1.9,2.6,-,7.03,21,1816.0
"26RaphinhaBarcelona, 26, AM(LR),FW","Raphinha Barcelona, 26, AM(LR),FW",4,1.4,27.8,80.4,1,1.7,0.2,7.02,15(10),1358.0
"27Jules KoundéBarcelona, 24, D(CR)","Jules Koundé Barcelona, 24, D(CR)",2,0.4,62.3,89.1,0.2,2.5,0.1,7.01,18(1),1573.0
"28Aurélien TchouaméniReal Madrid, 23, DMC","Aurélien Tchouaméni Real Madrid, 23, DMC",3,0.6,48.8,93.7,-,1.2,0.1,7.0,16(6),1356.0
"29Sergio BusquetsBarcelona, 34, DMC","Sergio Busquets Barcelona, 34, DMC",3,0.7,59.9,88.4,0.1,3.5,0.3,6.98,20(2),1653.0
