Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"1Lionel MessiPSG, 35, AM(CR),FW","Lionel Messi PSG, 35, AM(CR),FW",24,2122,13,13,4.3,2.9,3.5,1.4,0.3,2.5,1.8,8.44
"2Martin TerrierRennes, 26, AM(CL),FW","Martin Terrier Rennes, 26, AM(CL),FW",16,1330,9,4,2.9,1.6,0.6,1.5,0.4,0.9,1.6,7.71
"3NeymarPSG, 31, AM(CLR),FW","Neymar PSG, 31, AM(CLR),FW",18(2),1553,13,11,1.9,2.5,1.9,3.3,0.3,1.9,2.5,7.71
"4Kylian MbappéPSG, 24, AM(LR),FW","Kylian Mbappé PSG, 24, AM(LR),FW",23(2),2012,19,3,4.3,1.5,2.1,1.1,1,1.0,1.8,7.69
"5Dango OuattaraLorient, 21, AM(LR)","Dango Ouattara Lorient, 21, AM(LR)",18,1552,6,5,2.9,1.3,1.6,2.4,0.1,1.2,2.5,7.44
"6Alexandre LacazetteLyon, 31, M(CLR),FW","Alexandre Lacazette Lyon, 31, M(CLR),FW",25(1),2128,17,4,2.9,1.4,1.1,1.5,0.3,1.5,1.7,7.37
"7Enzo Le FéeLorient, 23, M(CLR)","Enzo Le Fée Lorient, 23, M(CLR)",28,2427,4,5,1.4,2.1,1.9,1.9,0.1,1.6,1.9,7.36
"8Rémy CabellaLille, 33, M(CLR),FW","Rémy Cabella Lille, 33, M(CLR),FW",20(3),1803,5,6,1.6,3.0,1.1,1.4,-,1.2,1.5,7.36
"9Téji SavanierMontpellier, 31, M(C)","Téji Savanier Montpellier, 31, M(C)",24,2075,10,2,2.0,2.1,2.2,3.1,-,1.6,2.1,7.26
"10Jonathan DavidLille, 23, AM(C),FW","Jonathan David Lille, 23, AM(C),FW",27(1),2383,19,4,3.0,1.4,0.8,1.6,0.6,1.3,2.6,7.26
"11Benjamin AndréLille, 32, D(R),M(CLR)","Benjamin André Lille, 32, D(R),M(CLR)",26,2298,1,1,0.6,0.8,0.7,1.2,-,1.2,1.2,7.24
"12Fabien CentonzeNantes, 27, D(R),M(R)","Fabien Centonze Nantes, 27, D(R),M(R)",13(3),1165,-,-,0.5,0.4,1.8,1.2,-,0.5,1.1,7.18
"13Florian SotocaLens, 32, AM(CR),FW","Florian Sotoca Lens, 32, AM(CR),FW",27(2),2395,6,8,2.7,1.7,0.3,1.0,0.3,0.7,1.3,7.17
"14Andrei GirottoNantes, 31, D(C),DMC","Andrei Girotto Nantes, 31, D(C),DMC",28,2474,1,1,0.6,0.4,0.1,1.0,-,0.1,0.3,7.16
