Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"1Lionel MessiPSG, 35, AM(CR),FW","Lionel Messi PSG, 35, AM(CR),FW",13,2.9,59.0,82.5,1.0,2.8,1.3,8.44,24,2122.0
"2Martin TerrierRennes, 26, AM(CL),FW","Martin Terrier Rennes, 26, AM(CL),FW",4,1.6,36.8,75.3,0.2,1.4,0.2,7.71,16,1330.0
"3NeymarPSG, 31, AM(CLR),FW","Neymar PSG, 31, AM(CLR),FW",11,2.5,59.4,82.7,0.9,2.2,0.5,7.71,18(2),1553.0
"4Kylian MbappéPSG, 24, AM(LR),FW","Kylian Mbappé PSG, 24, AM(LR),FW",3,1.5,35.0,82.6,0.5,0.4,0.2,7.69,23(2),2012.0
"5Dango OuattaraLorient, 21, AM(LR)","Dango Ouattara Lorient, 21, AM(LR)",5,1.3,22.3,63.9,0.2,0.4,0.2,7.44,18,1552.0
"6Alexandre LacazetteLyon, 31, M(CLR),FW","Alexandre Lacazette Lyon, 31, M(CLR),FW",4,1.4,24.5,74.3,0.1,0.8,0.1,7.37,25(1),2128.0
"7Enzo Le FéeLorient, 23, M(CLR)","Enzo Le Fée Lorient, 23, M(CLR)",5,2.1,55.8,84.6,1.0,3.2,0.2,7.36,28,2427.0
"8Rémy CabellaLille, 33, M(CLR),FW","Rémy Cabella Lille, 33, M(CLR),FW",6,3.0,49.7,84.1,1.3,1.0,0.3,7.36,20(3),1803.0
"9Téji SavanierMontpellier, 31, M(C)","Téji Savanier Montpellier, 31, M(C)",2,2.1,48.3,78.1,1.8,4.7,0.1,7.26,24,2075.0
"10Jonathan DavidLille, 23, AM(C),FW","Jonathan David Lille, 23, AM(C),FW",4,1.4,22.7,82.7,0.1,0.5,0.1,7.26,27(1),2383.0
"11Benjamin AndréLille, 32, D(R),M(CLR)","Benjamin André Lille, 32, D(R),M(CLR)",1,0.8,69.4,85.2,-,5.6,0.2,7.24,26,2298.0
"12Fabien CentonzeNantes, 27, D(R),M(R)","Fabien Centonze Nantes, 27, D(R),M(R)",-,0.4,31.9,79.1,0.5,1.4,-,7.18,13(3),1165.0
"13Florian SotocaLens, 32, AM(CR),FW","Florian Sotoca Lens, 32, AM(CR),FW",8,1.7,36.1,79.6,0.6,2.2,0.2,7.17,27(2),2395.0
"14Andrei GirottoNantes, 31, D(C),DMC","Andrei Girotto Nantes, 31, D(C),DMC",1,0.4,48.6,84.4,0.1,4.6,-,7.16,28,2474.0
"15Branco van den BoomenToulouse, 27, DMC","Branco van den Boomen Toulouse, 27, DMC",8,2.6,57.0,82.2,2.6,7.8,0.1,7.16,28,2449.0
"16Wissam Ben YedderMonaco, 32, AM(C),FW","Wissam Ben Yedder Monaco, 32, AM(C),FW",4,0.6,17.3,76.7,0.1,0.2,-,7.16,21(4),1559.0
"17Aleksandr GolovinMonaco, 26, M(CLR)","Aleksandr Golovin Monaco, 26, M(CLR)",7,1.8,28.4,74.6,1.1,1.3,0.1,7.15,22(5),1979.0
"18Alexis SánchezMarseille, 34, M(CLR),FW","Alexis Sánchez Marseille, 34, M(CLR),FW",1,1.5,26.5,76.9,0.2,1.2,0.1,7.11,23(3),1998.0
"19Gaëtan LabordeNice, 28, AM(CLR),FW","Gaëtan Laborde Nice, 28, AM(CLR),FW",2,1.3,19.9,70.1,0.5,0.4,-,7.1,21(3),1837.0
"20Yehvann DioufReims, 23, GK","Yehvann Diouf Reims, 23, GK",-,-,27.5,73.8,-,6.1,-,7.06,22,1980.0
"21Seko FofanaLens, 27, M(C)","Seko Fofana Lens, 27, M(C)",4,1.0,48.1,88.9,0.6,2.1,0.1,7.04,26(1),2359.0
"22Yunis AbdelhamidReims, 35, D(C)","Yunis Abdelhamid Reims, 35, D(C)",1,0.3,50.9,82.3,-,2.7,-,7.03,29,2610.0
"23Franck HonoratBrest, 26, M(LR),FW","Franck Honorat Brest, 26, M(LR),FW",5,2.7,25.3,74.7,2.2,0.7,-,7.03,24(2),2090.0
"24Malo GustoLyon, 19, D(R),M(R)","Malo Gusto Lyon, 19, D(R),M(R)",1,1.4,61.1,85.2,1.8,2.4,-,7.03,17,1448.0
"25Nabil BentalebAngers, 28, M(C)","Nabil Bentaleb Angers, 28, M(C)",3,1.0,59.8,84.9,0.7,4.2,0.1,7.02,23(1),1996.0
"26Achraf HakimiPSG, 24, D(LR),M(R)","Achraf Hakimi PSG, 24, D(LR),M(R)",3,1.4,46.7,89.5,0.5,0.4,-,7.01,17(5),1596.0
"27Terem MoffiLorient, 23, AM(R),FW","Terem Moffi Lorient, 23, AM(R),FW",-,0.5,11.3,75.9,-,0.2,-,7.01,17(1),1398.0
"28Marshall MunetsiReims, 26, D(C),M(C)","Marshall Munetsi Reims, 26, D(C),M(C)",3,0.9,25.8,73.8,0.1,1.0,-,7.01,22(3),1942.0
"29Nuno MendesPSG, 20, D(L),M(L)","Nuno Mendes PSG, 20, D(L),M(L)",3,1.1,35.5,86.8,0.2,0.5,0.1,7.01,16(4),1366.0
"30Kevin DansoLens, 24, D(C)","Kevin Danso Lens, 24, D(C)",1,0.3,65.4,90.5,-,2.8,-,7.0,29,2610.0
"31Pau LópezMarseille, 28, GK","Pau López Marseille, 28, GK",2,0.1,29.0,74.3,-,5.3,-,7.0,24,2160.0
"32Folarin BalogunReims, 21, FW","Folarin Balogun Reims, 21, FW",2,0.9,13.5,69.9,0.2,0.3,-,7.0,25(3),2208.0
"33Alexis FlipsReims, 23, M(CLR)","Alexis Flips Reims, 23, M(CLR)",6,1.6,25.0,69.2,1.2,1.5,0.2,7.0,21(3),1480.0
"34Azor MatusiwaReims, 24, DMC","Azor Matusiwa Reims, 24, DMC",-,0.7,51.5,85.5,-,4.0,-,7.0,22(1),1899.0
"35Edon ZhegrovaLille, 24, AM(R)","Edon Zhegrova Lille, 24, AM(R)",4,1.2,19.8,81.8,0.9,0.4,-,6.99,8(9),750.0
