Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"1Kevin De BruyneMan City, 31, M(CLR),FW","Kevin De Bruyne Man City, 31, M(CLR),FW",23(3),2034,5,13,2.2,3.2,1.0,0.8,0.2,0.9,1.4,7.58
"2Kieran TrippierNewcastle, 32, D(LR),M(R)","Kieran Trippier Newcastle, 32, D(LR),M(R)",27,2381,1,6,0.4,2.9,0.5,0.9,0.2,0.2,0.8,7.57
"3Gabriel JesusArsenal, 26, AM(LR),FW","Gabriel Jesus Arsenal, 26, AM(LR),FW",15(2),1324,7,5,3.3,1.4,2.0,2.4,0.6,2.4,3.5,7.52
"4Erling HaalandMan City, 22, FW","Erling Haaland Man City, 22, FW",25(1),2120,28,5,3.5,0.8,0.2,0.7,0.3,0.8,1.4,7.52
"5Harry KaneTottenham, 29, AM(C),FW","Harry Kane Tottenham, 29, AM(C),FW",29,2598,22,2,3.6,1.5,1.2,1.4,0.4,1.8,2.0,7.47
"6Bukayo SakaArsenal, 21, D(L),M(CLR)","Bukayo Saka Arsenal, 21, D(L),M(CLR)",28(1),2444,12,10,2.4,2.1,1.6,1.6,0.3,1.6,2.1,7.45
"7RodriMan City, 26, D(C),DMC","Rodri Man City, 26, D(C),DMC",27,2326,2,5,1.7,1.1,0.8,0.5,0.1,0.6,0.7,7.4
"8Martin ØdegaardArsenal, 24, AM(CR)","Martin Ødegaard Arsenal, 24, AM(CR)",28,2406,10,7,2.7,2.3,1.4,0.7,-,1.5,1.3,7.38
"9Solly MarchBrighton, 28, M(CLR)","Solly March Brighton, 28, M(CLR)",26,2252,7,5,2.4,1.6,1.6,1.3,0.5,1.0,1.6,7.35
"10Ivan ToneyBrentford, 27, FW","Ivan Toney Brentford, 27, FW",26,2332,17,4,2.9,0.8,0.4,2.2,0.8,1.3,3.2,7.33
"11Bruno FernandesMan Utd, 28, M(CLR)","Bruno Fernandes Man Utd, 28, M(CLR)",26,2340,5,6,2.1,2.8,0.8,1.1,0.5,1.3,1.2,7.29
"12Jack GrealishMan City, 27, AM(CL),FW","Jack Grealish Man City, 27, AM(CL),FW",18(4),1621,4,5,1.4,1.8,1.6,2.9,0.1,1.0,1.2,7.28
"13Gabriel MartinelliArsenal, 21, AM(L),FW","Gabriel Martinelli Arsenal, 21, AM(L),FW",28(1),2355,13,3,2.4,1.6,1.7,1.1,0.3,1.7,2.4,7.27
"14James MaddisonLeicester, 26, AM(CLR)","James Maddison Leicester, 26, AM(CLR)",20(1),1726,9,6,2.8,2.3,1.0,2.4,0.2,0.9,1.6,7.24
"15Thomas ParteyArsenal, 29, D(R),M(CR)","Thomas Partey Arsenal, 29, D(R),M(CR)",22(2),1925,3,-,1.0,0.9,1.0,0.6,-,0.6,1.2,7.22
"16Rodrigo BentancurTottenham, 25, M(C)","Rodrigo Bentancur Tottenham, 25, M(C)",17(1),1506,5,2,0.8,0.6,1.2,0.4,-,0.9,1.2,7.22
"17Bruno GuimarãesNewcastle, 25, DMC","Bruno Guimarães Newcastle, 25, DMC",21,1765,3,3,0.9,1.0,1.3,2.5,-,2.0,1.2,7.19
"18Phil FodenMan City, 22, AM(CLR),FW","Phil Foden Man City, 22, AM(CLR),FW",17(7),1409,9,4,1.5,1.4,1.1,0.9,0.1,1.0,1.2,7.16
"19JoelintonNewcastle, 26, AM(CLR),FW","Joelinton Newcastle, 26, AM(CLR),FW",21(2),1873,2,1,1.5,0.8,1.5,0.9,-,1.8,2.3,7.15
"20Aleksandar MitrovicFulham, 28, FW","Aleksandar Mitrovic Fulham, 28, FW",21,1820,11,1,4.1,0.7,1.1,1.7,0.7,2.5,2.7,7.15
"21Kaoru MitomaBrighton, 25, M(L)","Kaoru Mitoma Brighton, 25, M(L)",14(7),1361,7,3,1.2,1.0,1.7,0.7,0.2,0.7,1.6,7.11
"22Alexis Mac AllisterBrighton, 24, M(CL),FW","Alexis Mac Allister Brighton, 24, M(CL),FW",22(1),1996,8,1,2.5,1.1,1.2,1.5,-,1,1.2,7.11
"23Fabian SchärNewcastle, 31, D(C)","Fabian Schär Newcastle, 31, D(C)",25,2235,1,-,1.6,0.5,0.1,0.8,0.2,0.2,0.6,7.08
"24Pierre-Emile HøjbjergTottenham, 27, M(C)","Pierre-Emile Højbjerg Tottenham, 27, M(C)",28,2503,4,3,0.9,0.8,0.8,1.1,-,1.2,1.2,7.07
"25Ethan PinnockBrentford, 29, D(C)","Ethan Pinnock Brentford, 29, D(C)",20,1800,2,-,0.5,0.3,0.1,0.3,-,0.3,0.1,7.06
"26CasemiroMan Utd, 31, DMC","Casemiro Man Utd, 31, DMC",15(4),1339,2,3,0.9,0.9,0.3,1.1,0.1,0.5,0.7,7.06
"27João CanceloMan City, 28, D(LR),M(R)","João Cancelo Man City, 28, D(LR),M(R)",16(1),1279,2,1,1,0.7,1.8,1.1,0.2,0.8,1.1,7.04
"28Mohamed SalahLiverpool, 30, AM(CLR),FW","Mohamed Salah Liverpool, 30, AM(CLR),FW",27,2389,12,7,3,1.8,1.1,0.9,0.6,2.1,3,7.04
"29Thiago SilvaChelsea, 38, D(C)","Thiago Silva Chelsea, 38, D(C)",20(1),1812,-,2,0.5,0.2,0.1,0.5,-,-,0.2,7.03
"30David RayaBrentford, 27, GK","David Raya Brentford, 27, GK",28,2520,-,-,-,0.1,-,0.1,-,-,-,7.02
