Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"1Kevin De BruyneMan City, 31, M(CLR),FW","Kevin De Bruyne Man City, 31, M(CLR),FW",13,3.2,41.9,79.5,2.2,2.5,0.4,7.58,23(3),2034.0
"2Kieran TrippierNewcastle, 32, D(LR),M(R)","Kieran Trippier Newcastle, 32, D(LR),M(R)",6,2.9,51.6,74.7,3.8,3.4,0.2,7.57,27,2381.0
"3Gabriel JesusArsenal, 26, AM(LR),FW","Gabriel Jesus Arsenal, 26, AM(LR),FW",5,1.4,25.5,82.3,0.1,0.5,0.1,7.52,15(2),1324.0
"4Erling HaalandMan City, 22, FW","Erling Haaland Man City, 22, FW",5,0.8,13.7,75.6,-,-,0.1,7.52,25(1),2120.0
"5Harry KaneTottenham, 29, AM(C),FW","Harry Kane Tottenham, 29, AM(C),FW",2,1.5,21.7,72.2,0.2,1.9,0.2,7.47,29,2598.0
"6Bukayo SakaArsenal, 21, D(L),M(CLR)","Bukayo Saka Arsenal, 21, D(L),M(CLR)",10,2.1,33.4,80.9,1,1,-,7.45,28(1),2444.0
"7RodriMan City, 26, D(C),DMC","Rodri Man City, 26, D(C),DMC",5,1.1,90.1,91.4,0.1,5.3,0.1,7.4,27,2326.0
"8Martin ØdegaardArsenal, 24, AM(CR)","Martin Ødegaard Arsenal, 24, AM(CR)",7,2.3,45.9,84.4,0.7,1.5,0.3,7.38,28,2406.0
"9Solly MarchBrighton, 28, M(CLR)","Solly March Brighton, 28, M(CLR)",5,1.6,34.7,78.2,1,2.1,0.1,7.35,26,2252.0
"10Ivan ToneyBrentford, 27, FW","Ivan Toney Brentford, 27, FW",4,0.8,23.5,60.2,0.2,0.4,0.2,7.33,26,2332.0
"11Bruno FernandesMan Utd, 28, M(CLR)","Bruno Fernandes Man Utd, 28, M(CLR)",6,2.8,46.4,76.5,0.9,2.9,0.5,7.29,26,2340.0
"12Jack GrealishMan City, 27, AM(CL),FW","Jack Grealish Man City, 27, AM(CL),FW",5,1.8,35.3,88.4,0.3,0.6,-,7.28,18(4),1621.0
"13Gabriel MartinelliArsenal, 21, AM(L),FW","Gabriel Martinelli Arsenal, 21, AM(L),FW",3,1.6,29.2,82.7,0.4,1.2,0.1,7.27,28(1),2355.0
"14James MaddisonLeicester, 26, AM(CLR)","James Maddison Leicester, 26, AM(CLR)",6,2.3,35.6,81.0,1,1.9,0.1,7.24,20(1),1726.0
"15Thomas ParteyArsenal, 29, D(R),M(CR)","Thomas Partey Arsenal, 29, D(R),M(CR)",-,0.9,64.0,87.6,0.1,3.8,0.2,7.22,22(2),1925.0
"16Rodrigo BentancurTottenham, 25, M(C)","Rodrigo Bentancur Tottenham, 25, M(C)",2,0.6,47.6,85.2,0.2,1.3,0.1,7.22,17(1),1506.0
"17Bruno GuimarãesNewcastle, 25, DMC","Bruno Guimarães Newcastle, 25, DMC",3,1.0,47.1,83.5,-,2.7,0.2,7.19,21,1765.0
"18Phil FodenMan City, 22, AM(CLR),FW","Phil Foden Man City, 22, AM(CLR),FW",4,1.4,31.4,85.3,1.1,0.6,0.1,7.16,17(7),1409.0
"19JoelintonNewcastle, 26, AM(CLR),FW","Joelinton Newcastle, 26, AM(CLR),FW",1,0.8,36.8,83.4,0.2,1.0,-,7.15,21(2),1873.0
"20Aleksandar MitrovicFulham, 28, FW","Aleksandar Mitrovic Fulham, 28, FW",1,0.7,21.0,60.4,-,1.1,0.1,7.15,21,1820.0
"21Kaoru MitomaBrighton, 25, M(L)","Kaoru Mitoma Brighton, 25, M(L)",3,1.0,28.5,85.1,-,0.7,0.1,7.11,14(7),1361.0
"22Alexis Mac AllisterBrighton, 24, M(CL),FW","Alexis Mac Allister Brighton, 24, M(CL),FW",1,1.1,53.0,87.7,0.3,2.1,0.1,7.11,22(1),1996.0
