Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
"1Khvicha KvaratskheliaNapoli, 22, AM(CLR)","Khvicha Kvaratskhelia Napoli, 22, AM(CLR)",23(1),1833,1.3,0.1,0.5,-,0.2,0.6,-,-,7.63
"2Victor OsimhenNapoli, 24, FW","Victor Osimhen Napoli, 24, FW",22(1),1916,0.2,0.1,1.3,-,0.8,0.2,-,-,7.6
"3Paulo DybalaRoma, 29, AM(CR),FW","Paulo Dybala Roma, 29, AM(CR),FW",19(2),1533,0.7,0.3,0.5,-,0.1,0.7,-,-,7.37
"4Armand LaurientéSassuolo, 24, AM(LR),FW","Armand Laurienté Sassuolo, 24, AM(LR),FW",21,1741,0.7,0.5,0.7,-,0.1,0.3,-,-,7.32
"5Sergej Milinkovic-SavicLazio, 28, AM(C)","Sergej Milinkovic-Savic Lazio, 28, AM(C)",25(1),2196,1.6,0.8,1.2,-,1.2,1.1,0.3,-,7.29
"6Adrien RabiotJuventus, 28, DMC,M(L)","Adrien Rabiot Juventus, 28, DMC,M(L)",22(1),1941,1.8,0.9,1.1,-,1.2,0.9,0.3,-,7.2
"7Mattia ZaccagniLazio, 27, AM(CL),FW","Mattia Zaccagni Lazio, 27, AM(CL),FW",24(1),1991,1.2,0.7,1.6,-,0.2,0.4,0.1,-,7.2
"8Lucas MartínezFiorentina, 26, D(C)","Lucas Martínez Fiorentina, 26, D(C)",18(2),1587,3.1,1.7,0.8,0.6,3.2,0.7,0.8,-,7.16
"9Rafael LeãoAC Milan, 23, AM(CL),FW","Rafael Leão AC Milan, 23, AM(CL),FW",22(4),1925,0.2,0.5,0.5,-,0.3,0.2,0.1,-,7.15
"10Lautaro MartínezInter, 25, FW","Lautaro Martínez Inter, 25, FW",24(4),2163,0.8,0.4,1.5,-,0.4,0.4,-,-,7.14
"11Mário RuiNapoli, 31, D(L),M(L)","Mário Rui Napoli, 31, D(L),M(L)",19(1),1596,1.6,0.8,0.9,0.2,0.8,0.9,0.2,-,7.11
"12Lorenzo PellegriniRoma, 26, M(CL)","Lorenzo Pellegrini Roma, 26, M(CL)",23,1933,1.7,0.9,0.8,-,0.6,0.7,0.1,-,7.11
"13Kim Min-JaeNapoli, 26, D(C)","Kim Min-Jae Napoli, 26, D(C)",27,2363,1.6,1.1,0.8,0.6,3.8,0.1,0.9,-,7.09
"14André-Frank Zambo AnguissaNapoli, 27, M(C)","André-Frank Zambo Anguissa Napoli, 27, M(C)",26,2199,1.7,1.2,1.1,-,0.7,1.3,0.1,-,7.08
"15Gerard DeulofeuUdinese, 29, AM(CLR),FW","Gerard Deulofeu Udinese, 29, AM(CLR),FW",15(1),1219,0.5,0.1,0.5,-,0.1,0.6,0.1,-,7.06
"16Hakan ÇalhanogluInter, 29, M(CLR),FW","Hakan Çalhanoglu Inter, 29, M(CLR),FW",23(3),1934,1.5,0.8,1.3,-,0.3,0.9,0.2,-,7.05
"17DaniloJuventus, 31, D(CLR),DMC","Danilo Juventus, 31, D(CLR),DMC",27(1),2442,2.2,1.3,1.0,0.2,3.1,0.6,0.5,-,7.04
"18Giovanni Di LorenzoNapoli, 29, D(CLR),M(R)","Giovanni Di Lorenzo Napoli, 29, D(CLR),M(R)",28,2509,1.7,0.8,0.9,0.2,1.4,0.7,0.2,-,7.03
