Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"1Khvicha KvaratskheliaNapoli, 22, AM(CLR)","Khvicha Kvaratskhelia Napoli, 22, AM(CLR)",10,1.8,27.2,82.5,0.5,1.2,0.3,7.63,23(1),1833.0
"2Victor OsimhenNapoli, 24, FW","Victor Osimhen Napoli, 24, FW",4,1.0,11.7,71.0,-,0.3,-,7.6,22(1),1916.0
"3Paulo DybalaRoma, 29, AM(CR),FW","Paulo Dybala Roma, 29, AM(CR),FW",6,2.3,29.7,81.9,1.6,2.4,0.1,7.37,19(2),1533.0
"4Armand LaurientéSassuolo, 24, AM(LR),FW","Armand Laurienté Sassuolo, 24, AM(LR),FW",6,2.7,26.3,80.8,0.8,0.5,0.1,7.32,21,1741.0
"5Sergej Milinkovic-SavicLazio, 28, AM(C)","Sergej Milinkovic-Savic Lazio, 28, AM(C)",8,1.4,54.0,76.4,0.2,2.5,0.2,7.29,25(1),2196.0
"6Adrien RabiotJuventus, 28, DMC,M(L)","Adrien Rabiot Juventus, 28, DMC,M(L)",3,1.0,33.5,83.1,0.1,1.5,0.1,7.2,22(1),1941.0
"7Mattia ZaccagniLazio, 27, AM(CL),FW","Mattia Zaccagni Lazio, 27, AM(CL),FW",4,0.8,26.8,84.0,0.1,0.4,-,7.2,24(1),1991.0
"8Lucas MartínezFiorentina, 26, D(C)","Lucas Martínez Fiorentina, 26, D(C)",1,0.3,53.7,81.3,-,6.4,-,7.16,18(2),1587.0
"9Rafael LeãoAC Milan, 23, AM(CL),FW","Rafael Leão AC Milan, 23, AM(CL),FW",6,1.4,20.7,74.5,0.5,1.6,0.1,7.15,22(4),1925.0
"10Lautaro MartínezInter, 25, FW","Lautaro Martínez Inter, 25, FW",3,1.3,19.5,75.0,-,0.7,0.1,7.14,24(4),2163.0
"11Mário RuiNapoli, 31, D(L),M(L)","Mário Rui Napoli, 31, D(L),M(L)",6,2.2,65.2,83.9,1.6,5.2,0.1,7.11,19(1),1596.0
"12Lorenzo PellegriniRoma, 26, M(CL)","Lorenzo Pellegrini Roma, 26, M(CL)",5,2.3,32.2,81.2,1.5,1.8,0.1,7.11,23,1933.0
"13Kim Min-JaeNapoli, 26, D(C)","Kim Min-Jae Napoli, 26, D(C)",1,0.3,78.1,90.5,-,3.5,-,7.09,27,2363.0
"14André-Frank Zambo AnguissaNapoli, 27, M(C)","André-Frank Zambo Anguissa Napoli, 27, M(C)",4,1.0,59.4,88.9,-,1.7,-,7.08,26,2199.0
"15Gerard DeulofeuUdinese, 29, AM(CLR),FW","Gerard Deulofeu Udinese, 29, AM(CLR),FW",6,3.0,32.0,80.5,1.2,0.6,-,7.06,15(1),1219.0
"16Hakan ÇalhanogluInter, 29, M(CLR),FW","Hakan Çalhanoglu Inter, 29, M(CLR),FW",5,2.2,45.3,87.9,2.1,3.1,0.1,7.05,23(3),1934.0
"17DaniloJuventus, 31, D(CLR),DMC","Danilo Juventus, 31, D(CLR),DMC",3,0.6,54.5,83.8,0.1,4.0,0.1,7.04,27(1),2442.0
"18Giovanni Di LorenzoNapoli, 29, D(CLR),M(R)","Giovanni Di Lorenzo Napoli, 29, D(CLR),M(R)",4,1.3,61.8,86.4,0.3,2.7,-,7.03,28,2509.0
"19Teun KoopmeinersAtalanta, 25, D(C),M(C)","Teun Koopmeiners Atalanta, 25, D(C),M(C)",3,1.5,48.5,78.9,1.3,3.0,0.1,7.03,23(1),2051.0
"20Stefan PoschBologna, 25, D(CR)","Stefan Posch Bologna, 25, D(CR)",1,1.0,50.5,75.8,0.4,3.6,0.2,7.03,21,1792.0
"21Ismaël BennacerAC Milan, 25, DMC","Ismaël Bennacer AC Milan, 25, DMC",2,1.8,49.9,88.9,0.9,3.7,0.1,7.03,20(3),1713.0
"22Felipe AndersonLazio, 29, M(CLR),FW","Felipe Anderson Lazio, 29, M(CLR),FW",2,1.3,34.1,78.8,0.2,0.8,-,7.02,26(2),2204.0
"23Ivan ProvedelLazio, 29, GK","Ivan Provedel Lazio, 29, GK",-,-,31.2,77.1,-,8.6,-,7.01,27(1),2512.0
"24Piotr ZielinskiNapoli, 28, M(CLR)","Piotr Zielinski Napoli, 28, M(CLR)",7,2,37.2,85.8,1.2,0.9,-,6.99,22(6),1800.0
"25Armando IzzoMonza, 31, D(C)","Armando Izzo Monza, 31, D(C)",-,0.6,51.7,86.0,0.2,3.4,-,6.99,19(1),1624.0
"26Amir RrahmaniNapoli, 29, D(CL)","Amir Rrahmani Napoli, 29, D(CL)",1,0.4,73.1,90.9,-,5.1,-,6.99,20(1),1819.0
"27Nicolò BarellaInter, 26, AM(C)","Nicolò Barella Inter, 26, AM(C)",6,1.6,44.4,85.0,0.6,1.7,0.1,6.98,25(2),2107.0
"28Manuel LocatelliJuventus, 25, M(C)","Manuel Locatelli Juventus, 25, M(C)",1,0.5,43.8,81.8,-,3.6,-,6.98,22(2),1892.0
"29IbañezRoma, 24, D(C)","Ibañez Roma, 24, D(C)",-,0.2,52.9,88.0,-,3.0,0.1,6.97,26,2282.0
"30Ademola LookmanAtalanta, 25, AM(CLR),FW","Ademola Lookman Atalanta, 25, AM(CLR),FW",4,1.3,20.3,78.7,0.4,0.1,0.1,6.97,19(8),1591.0
"31Domenico BerardiSassuolo, 28, AM(R),FW","Domenico Berardi Sassuolo, 28, AM(R),FW",5,1.4,30.0,71.3,0.7,2.7,0.1,6.96,15(3),1254.0
"32Destiny UdogieUdinese, 20, M(L)","Destiny Udogie Udinese, 20, M(L)",3,1.2,30.8,81.9,0.3,0.6,-,6.95,24,2083.0
"33Carlos AugustoMonza, 24, D(L),M(L)","Carlos Augusto Monza, 24, D(L),M(L)",4,0.6,40.3,85.5,0.2,0.9,0.1,6.93,25,2187.0
